,standardized_coefficient
tsi_norm,-56108618336.598236
tsi_anomaly_norm,56108618336.496376
region_Northern_Extratropics,2040794.2692073488
region_Northern_Hemisphere,2040794.103339904
region_Global,2040793.9316517
region_Southern_Hemisphere,2040793.7622377102
region_Southern_Extratropics,2040793.6989733544
aerosol_ma12_norm,-141421.3823129956
aerosol_optical_depth_norm,-79672.49302721766
n2o_ma12_norm,2.6876704970768976
time_since_baseline_norm,-1.587172451239436
ch4_ma12_norm,-1.2884694833233465
n2o_norm,1.1945032636977144
co2_ma12_norm,-0.9068547042782116
ch4_norm,0.756247681853005
co2_norm,-0.7341052651201102
owid_primary_energy_norm,0.6635317528309008
owid_co2_norm,-0.5576989066236336
owid_co2_luc_norm,0.06818466253743108
month_sin_norm,0.05581569716772663
ch4_growth_norm,-0.052045537289910716
month_cos_norm,-0.04387067948045014
n2o_growth_norm,-0.03637271085057384
co2_growth_norm,0.02925010894174948
aerosol_log_norm,0.0
